lat	lon	title	description	icon	iconsize	iconoffset
53.143959	0.3363070	The Red Lion	Not Visited	no_visit.png	24,24	0,0
53.229820	-0.546572	The Square Sail	Not Visited	no_visit.png	24,24	0,0
52.651148	-0.480789	The Stamford Post	Not Visited	no_visit.png	24,24	0,0
53.398454	-0.777033	The Sweyn Forkbeard	Not Visited	no_visit.png	24,24	0,0
52.909841	-0.639824	The Tollemache Inn	Not Visited	no_visit.png	24,24	0,0
53.563934	-0.087395	The Yarborough Hotel	Not Visited	no_visit.png	24,24	0,0
51.545456	-0.055087	Baxter’s Court	Not Visited	no_visit.png	24,24	0,0
51.543751	0.0039980	Goldengrove	Not Visited	no_visit.png	24,24	0,0
51.511494	-0.072858	Goodman’s Field	Not Visited	no_visit.png	24,24	0,0
51.517643	-0.080963	Hamilton Hall	Not Visited	no_visit.png	24,24	0,0
51.584673	-0.279922	J.J. Moon’s	Not Visited	no_visit.png	24,24	0,0
51.573325	-0.413293	J.J. Moon’s	Not Visited	no_visit.png	24,24	0,0
51.427847	-0.168426	J.J. Moon’s	Not Visited	no_visit.png	24,24	0,0
51.553589	-0.292811	J.J. Moon’s	Not Visited	no_visit.png	24,24	0,0
51.480414	-0.194437	Oyster Rooms	Not Visited	no_visit.png	24,24	0,0
51.517967	-0.115481	Penderel’s Oak	Not Visited	no_visit.png	24,24	0,0
51.516816	-0.119686	Shakespeare's Head	Not Visited	no_visit.png	24,24	0,0
51.596974	-0.108708	Spouter’s Corner	Not Visited	no_visit.png	24,24	0,0
51.619343	-0.106970	The Alfred Herring	Not Visited	no_visit.png	24,24	0,0
51.532185	-0.106422	The Angel	Not Visited	no_visit.png	24,24	0,0
51.469878	-0.171417	The Asparagus	Not Visited	no_visit.png	24,24	0,0
51.450679	0.0522720	The Banker’s Draft	Not Visited	no_visit.png	24,24	0,0
51.5314278	-0.1266802	The Barrel Vault	Not Visited	no_visit.png	24,24	0,0
51.553529	-0.211525	The Beaten Docket	Not Visited	no_visit.png	24,24	0,0
51.463752	-0.114514	The Beehive	Not Visited	no_visit.png	24,24	0,0
51.508134	-0.416617	The Botwell Inn	Not Visited	no_visit.png	24,24	0,0
